mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	3/4	3	1	a.i[i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
3	3	8	8	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
4	4	9	9	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
4	4	10	10	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
5	5	12	12	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
5	5	13	13	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
6	6	15	15	3.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
7	7	18	18	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	19	19	2.0	1/4	1/4	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
8	8	21	21	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	22	22	6.0	1/4	1/4	3/4	3	1	i\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
10	10	28	28	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
11	11	30	30	2.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
11	11	32	32	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
12	12	33	33	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
12	12	34	34	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
13	13	36	36	4.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
14	14	40	40	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
15	15	42	42	2.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
15	15	44	44	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
16	16	45	45	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
16	16	46	46	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
17	17	48	48	2.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
17	17	50	50	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
18	18	51	51	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
18	18	52	52	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
19	19	54	54	3.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
20	20	57	57	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
20	20	58	58	4.0	1/4	1/4	3/4	3	1	i\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
21	21	62	62	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
22	22	63	63	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
22	22	64	64	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
23	23	66	66	3.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
24	24	69	69	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	24	70	70	14.0	1/4	1/4	3/4	3	1	i\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
29	29	84	84	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
29	29	85	85	2.0	1/4	1/4	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
30	30	87	87	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
30	30	88	88	6.0	1/4	1/4	3/4	3	1	i\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
32	32	94	94	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
33	33	96	96	2.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
33	33	98	98	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
34	34	99	99	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
34	34	100	100	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
35	35	102	102	4.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
36	36	106	106	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
37	37	108	108	2.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
37	37	110	110	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
38	38	111	111	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
38	38	112	112	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
39	39	114	114	2.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
39	39	116	116	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
40	40	117	117	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
40	40	118	118	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
41	41	120	120	3.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
42	42	123	123	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
42	42	124	124	4.0	1/4	1/4	3/4	3	1	i\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
43	43	128	128	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
44	44	129	129	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
44	44	130	130	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
45	45	132	132	3.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
46	46	135	135	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
46	46	136	136	14.0	1/4	1/4	3/4	3	1	i\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
51	51	150	150	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
51	51	151	151	2.0	1/4	1/4	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
52	52	153	153	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
52	52	154	154	2.0	1/4	1/4	3/4	3	1	i\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
53	53	156	156	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
53	53	157	157	2.0	1/4	1/4	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
54	54	159	159	1.0	0	0	3/4	3	1	V7	a	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
54	54	160	160	6.0	1/4	1/4	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
56	56	166	166	1.0	1/4	1/4	3/4	3	1	V7(9)	a	i	i	V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
56	56	167	167	2.0	1/2	1/2	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
57	57	169	169	1.0	1/4	1/4	3/4	3	1	V7(9)	a	i	i	V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
57	57	170	170	6.0	1/2	1/2	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
59	59	176	176	1.0	1/2	1/2	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
60	60	177	177	1.0	0	0	3/4	3	1	i	a	i	i	i	i							m	1	1	0, -3, 1		0	0
60	60	178	178	2.0	1/4	1/4	3/4	3	1	V	a	i	i	V	V							M	1	1	1, 5, 2		1	1
61	61	180	180	3.0	0	0	3/4	3	1	i]\\	a	i	i	i	i						\\	m	1	1	0, -3, 1		0	0
